loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
164,GJ 3998,GJ 3998 c,Radial Velocity,2,13.74,0.089,0.0197,18.16,18.16,3722,0.5,Roque de los Muchachos Observatory,,,,28-07-2016
165,GJ 411,GJ 411 b,Radial Velocity,1,12.9532,0.0785,0.00941,2.55,,3563,0.39,Haute-Provence Observatory,,,,05-03-2019
166,GJ 4276,GJ 4276 b,Radial Velocity,1,13.352,0.082,0.05213,21.35,21.35,3387,0.41,Calar Alto Observatory,,,,24-01-2019
167,GJ 433,GJ 433 b,Radial Velocity,1,7.3709,0.06,0.02,9.07,9.07,3461,0.59,La Silla Observatory,,,,06-09-2018
168,GJ 436,GJ 436 b,Radial Velocity,1,2.64388312,0.0291,0.07,9.76,9.76,,0.47,W. M. Keck Observatory,,,,05-02-2015
169,GJ 504,GJ 504 b,Imaging,1,,43.5,4,17.54,17.54,6234,1.22,Subaru Telescope,,,,14-05-2014
170,GJ 536,GJ 536 b,Radial Velocity,1,8.7076,0.06661,0.01686,10.41,10.41,3685,0.52,La Silla Observatory,,,,17-11-2016
171,GJ 581,GJ 581 b,Radial Velocity,3,5.3686,0.04061,0.0497,6.3,6.3,,0.31,La Silla Observatory,,,,09-07-2014
172,GJ 581,GJ 581 c,Radial Velocity,3,12.914,0.0721,0.0173,6.3,6.3,,0.31,La Silla Observatory,,,,09-07-2014
173,GJ 581,GJ 581 e,Radial Velocity,3,3.149,0.02815,0.0053,6.3,6.3,,0.31,La Silla Observatory,,,,09-07-2014
174,GJ 625,GJ 625 b,Radial Velocity,1,14.628,0.078361,0.00887,6.49,6.47,3499,0.3,Multiple Observatories,,,,28-09-2017
175,GJ 649,GJ 649 b,Radial Velocity,1,598.3,1.135,0.328,10.38,10.38,3700,0.54,W. M. Keck Observatory,,,,14-05-2014
176,GJ 667 C,GJ 667 C b,Radial Velocity,5,7.2004,0.0505,0.018,6.8,7.25,3350,0.33,La Silla Observatory,,,,14-05-2014
177,GJ 667 C,GJ 667 C c,Radial Velocity,5,28.14,0.125,0.012,6.8,7.25,3350,0.33,La Silla Observatory,,,,14-05-2014
178,GJ 667 C,GJ 667 C e,Radial Velocity,5,62.24,0.213,0.008,6.8,7.25,3350,0.33,La Silla Observatory,,,,14-05-2014
179,GJ 667 C,GJ 667 C f,Radial Velocity,5,39.026,0.156,0.008,6.8,7.25,3350,0.33,La Silla Observatory,,,,14-05-2014
180,GJ 667 C,GJ 667 C g,Radial Velocity,5,256.2,0.549,0.014,6.8,7.25,3350,0.33,La Silla Observatory,,,,14-05-2014
181,GJ 674,GJ 674 b,Radial Velocity,1,4.6938,0.039,0.035,4.55,4.55,3600,0.35,La Silla Observatory,,,,14-05-2014
182,GJ 676 A,GJ 676 A b,Radial Velocity,4,1056.80005,1.82,4.96,16.03,16.03,3734,0.73,La Silla Observatory,,,,06-09-2018
